,Trees,Lush Bushes,Dry Grass,Dry Bushes,Ground Clutter,Flowers,Logs,Rocks,Landscape,Sky
Trees,65,7017,914,42,0,5,0,2,159,229
Lush Bushes,218,82,9166,1428,3,314,2,40,1275,25
Dry Grass,300,40,1518,25665,605,2221,9,367,9435,52
Dry Bushes,0,0,6,536,1153,62,0,73,568,19
Ground Clutter,45,9,157,567,33,5014,3,74,3097,0
Flowers,2919,70,466,266,0,161,0,20,1194,13
Logs,2,0,7,7,0,36,39,5,51,0
Rocks,30,8,83,277,26,369,1,1064,762,2
Landscape,193,56,745,3030,235,6617,14,320,38077,7
Sky,85,949,312,138,43,15,0,6,207,77045
